nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Médiathèque Terrain,Christiane Valentin de Marques,rivierezoe@example.net,0714701292,Médiathèque,France,Normandie,76,Dieppe,avenue Blin,429.0,http://hoareau.fr/,3753.0,,,http://www.boucher.org/,16039.0,http://www.brunel.org/,47244.0,,,http://www.delannoy.fr/,False,instagram,True,2025-10-03,
Asso JDR Toi,Jérôme de Laroche,chauveauaime@example.org,0657581479,Asso JDR,France,Occitanie,81,Gaillac,chemin Garcia,230.0,http://legros.fr/,5629.0,,,,,https://ledoux.com/,25903.0,https://lucas.fr/,61427.0,https://www.bousquet.fr/,False,,False,,
CSCS Barbe,Margaux Hubert de la De Sousa,nmercier@example.com,0779491823,CSCS,France,Auvergne-Rhône-Alpes,01,Oyonnax,boulevard de Hardy,,https://leger.com/,9833.0,,,https://www.lambert.fr/,6267.0,http://www.bourgeois.com/,36646.0,,,http://lacroix.fr/,False,instagram,False,2025-03-07,
Bar à jeux Intéresser,,zmartinez@example.org,0693913171,Bar à jeux,France,Normandie,50,Saint-Lô,"89, rue Vidal",,,,,,http://parent.fr/,9585.0,https://lopez.net/,10985.0,http://richard.net/,21849.0,https://www.gregoire.org/,True,,False,2024-08-17,
Influenceur Billet,,iblanchet@example.org,0712124473,Influenceur,France,Occitanie,48,Florac,"60, rue Delmas",,http://www.delannoy.net/,3412.0,,,https://vaillant.org/,19382.0,,,,,https://www.morel.fr/,True,email,False,,
CSCS Vaste,Guillaume Julien,morvanbertrand@example.net,0657103201,CSCS,France,Bourgogne-Franche-Comté,71,Autun,,,http://www.leconte.fr/,5293.0,,,https://www.weiss.org/,21673.0,https://bodin.fr/,24515.0,,,http://vidal.com/,True,instagram,True,2024-09-16,
Ludothèque Saint,,npasquier@example.net,0606050312,Ludothèque,France,Centre-Val de Loire,45,Montargis,"29, boulevard Georges",,,,,,http://rodriguez.fr/,4306.0,,,,,,True,instagram,False,,
Ludothèque Intérêt,Maurice Laurent Le François,,0731988955,Ludothèque,France,Centre-Val de Loire,37,Loches,,406.0,http://andre.com/,4992.0,https://www.lesage.com/,8083.0,https://guillot.org/,14267.0,http://marty.fr/,21335.0,,,,True,instagram,False,,
CSCS Pied,,monique00@example.net,0793170053,CSCS,France,Auvergne-Rhône-Alpes,69,Lyon,,,https://perez.com/,5998.0,https://jacquet.org/,11393.0,https://www.riou.org/,23244.0,https://riou.fr/,13876.0,,,http://dufour.net/,False,instagram,False,,Armée ancien joindre relation.
Ludothèque Mauvais,,chantal30@example.org,0764071551,Ludothèque,France,Provence-Alpes-Côte d'Azur,06,Nice,"387, avenue Moulin",,http://www.royer.com/,3070.0,,,http://adam.com/,27908.0,,,https://www.camus.com/,40102.0,http://www.pons.org/,False,email,True,2024-11-17,Miser voyage ceci.
Médiathèque Douceur,,suzanne48@example.net,0666183233,Médiathèque,France,Île-de-France,91,Massy,chemin de Bourgeois,,http://ramos.net/,382.0,,,,,,,,,http://gerard.fr/,True,,True,,
MJC Poser,Adrien-Daniel Leclerc,olivierguillet@example.com,0682575420,MJC,France,Grand Est,55,Verdun,"31, rue Jean Huet",,,,https://www.toussaint.org/,14997.0,http://mace.net/,2456.0,http://lucas.fr/,6259.0,http://rocher.fr/,61847.0,http://dupre.com/,True,email,False,2024-02-23,
Éditeur Saisir,,torresnath@example.org,0638136342,Éditeur,France,Normandie,76,Le Havre,"13, boulevard de Le Roux",224.0,,,http://www.thibault.com/,1310.0,http://www.blin.fr/,27854.0,,,https://rolland.com/,73026.0,http://reynaud.com/,True,email,False,2025-11-22,
Médiathèque Nouveau,Isabelle Lefèvre de la Ollivier,bernadettepelletier@example.net,0607014573,Médiathèque,France,Nouvelle-Aquitaine,86,Montmorillon,"28, chemin Philippe Leduc",273.0,,,,,http://www.girard.org/,23516.0,,,,,http://peron.fr/,False,email,False,,
Boutique spécialisée Suite,,mariannefabre@example.net,0780023193,Boutique spécialisée,France,Occitanie,66,Céret,,,http://www.richard.net/,7670.0,http://guillon.fr/,12981.0,http://www.fabre.fr/,8829.0,http://michaud.com/,46926.0,,,https://www.marty.fr/,False,email,False,2025-08-03,Devant milieu goût mesure métier.
CSCS Fil,,zdelannoy@example.org,,CSCS,France,Hauts-de-France,59,Roubaix,"78, avenue de Laurent",466.0,http://wagner.net/,2520.0,,,http://www.jacquot.fr/,24782.0,,,,,,True,instagram,True,2025-08-19,
Éditeur Porte,Franck Delannoy,adrienneferrand@example.com,0695828192,Éditeur,France,Grand Est,51,Épernay,,459.0,http://ledoux.org/,5188.0,,,http://www.becker.fr/,14026.0,,,,,https://royer.com/,True,,False,,Manquer hasard inviter diriger.
Asso JDR Derrière,Monique Marchand,etienne28@example.com,0652926780,Asso JDR,France,Provence-Alpes-Côte d'Azur,04,Sisteron,chemin de Adam,203.0,https://www.hardy.com/,2394.0,,,https://henry.com/,18996.0,,,,,http://faure.com/,False,email,False,,Tracer saison jour accord fermer.
Asso JDR Faible,Édouard-Julien Julien,cherve@example.com,,Asso JDR,France,Grand Est,51,Épernay,"27, boulevard Bertin",,,,http://schneider.net/,2002.0,http://lemaitre.org/,19705.0,https://www.lemoine.fr/,24868.0,,,http://www.ruiz.fr/,False,telephone,True,,Trace cri intelligence or court noire attitude.
Médiathèque Police,,astrid29@example.com,0723676408,Médiathèque,France,Occitanie,09,Foix,rue de Joubert,,http://millet.com/,3557.0,,,https://tessier.fr/,17755.0,https://www.pelletier.com/,22614.0,,,https://www.alves.net/,False,telephone,False,,
Asso JDR Quinze,,hardyadrienne@example.org,0764935672,Asso JDR,France,Auvergne-Rhône-Alpes,03,Moulins,"7, rue Benard",,,,http://rolland.fr/,4731.0,https://www.alves.com/,4434.0,,,,,https://lopez.com/,True,email,True,,
Asso JDR Dégager,,mcollet@example.org,0734849001,Asso JDR,France,Auvergne-Rhône-Alpes,74,Cluses,"262, avenue Eugène Chauvin",,http://vincent.fr/,7802.0,,,,,,,https://clement.com/,28510.0,http://www.toussaint.com/,True,instagram,False,,Trou perte oh rester mort propos.
CSCS Seul,,eugene57@example.org,0667772680,CSCS,France,Pays de la Loire,49,Cholet,"76, avenue de Parent",,http://boutin.com/,7793.0,https://laporte.com/,10760.0,https://www.millet.fr/,21644.0,,,,,http://www.schmitt.org/,True,,False,2024-11-29,
Éditeur Expérience,,qtecher@example.com,,Éditeur,France,Auvergne-Rhône-Alpes,63,Riom,"8, boulevard Camille Lejeune",,https://www.chauvet.net/,1620.0,,,https://www.roche.fr/,28624.0,https://rocher.fr/,42095.0,http://merle.fr/,4913.0,,False,telephone,True,,Soulever frais aussi pouvoir sentiment silence.
Bar à jeux Aucun,,michellegarnier@example.com,0700819319,Bar à jeux,France,Occitanie,30,Alès,"228, chemin Turpin",462.0,http://pons.org/,7488.0,,,https://vaillant.com/,9795.0,,,,,,False,instagram,True,2025-03-21,
MJC Fil,Marthe Lelièvre,pteixeira@example.com,0614052940,MJC,France,Auvergne-Rhône-Alpes,01,Bellegarde-sur-Valserine,boulevard Eugène Joseph,156.0,,,http://www.briand.com/,9548.0,http://philippe.com/,22084.0,,,,,http://leblanc.com/,False,facebook,True,2024-03-01,
Asso JDR Courant,Jules Thomas,margotperrier@example.net,0716015350,Asso JDR,France,Normandie,27,Évreux,"89, boulevard de Martineau",251.0,https://www.bodin.com/,8074.0,https://riou.org/,2515.0,,,,,https://lagarde.net/,18013.0,https://www.blot.fr/,True,email,True,,
Médiathèque Songer,Richard Andre,bertrandgabrielle@example.net,0665230762,Médiathèque,France,Pays de la Loire,85,Les Sables-d’Olonne,boulevard Mathieu,,http://besson.fr/,2501.0,https://gauthier.org/,8221.0,,,,,,,http://www.jacquot.fr/,False,instagram,True,2025-08-06,Nu lutte oublier courant fond.
MJC Fond,Céline Le Schneider,qbruneau@example.net,0761007740,MJC,France,Auvergne-Rhône-Alpes,42,Saint-Étienne,"92, rue de Navarro",,https://www.bourdon.fr/,9979.0,,,http://hardy.com/,7250.0,,,http://www.diaz.fr/,1237.0,https://www.fernandez.com/,False,email,True,,
Éditeur Secrétaire,Martin de Mallet,louis42@example.com,0627360111,Éditeur,France,Centre-Val de Loire,36,Le Blanc,,,,,,,,,,,,,https://www.wagner.com/,False,,False,2025-02-17,
Éditeur Plan,Paulette Millet,elemaitre@example.net,0774766953,Éditeur,France,Hauts-de-France,59,Roubaix,"5, rue de Prévost",,https://www.coste.fr/,9290.0,https://www.becker.com/,7235.0,,,,,https://www.henry.com/,57790.0,http://www.daniel.fr/,True,instagram,False,2025-02-18,
Éditeur Sol,Emmanuelle-Nathalie Baron,,0765971110,Éditeur,France,Hauts-de-France,80,Péronne,"9, boulevard Moreau",,http://www.dufour.com/,9128.0,http://morel.net/,14378.0,http://alexandre.fr/,22712.0,,,,,https://www.texier.fr/,False,facebook,False,,Chaîne commencer sortir passion que.
Artisan Seulement,Christophe Andre,fcouturier@example.org,,Artisan,France,Occitanie,32,Auch,,326.0,http://rey.net/,2759.0,https://grenier.com/,8951.0,http://www.boutin.fr/,24630.0,,,,,https://www.maurice.net/,False,telephone,True,,
CSCS Après,Maurice Jean,margaud03@example.net,0621663878,CSCS,France,Centre-Val de Loire,28,Châteaudun,boulevard Rey,393.0,http://lambert.org/,3650.0,https://www.barre.net/,8336.0,http://texier.com/,13868.0,,,https://gilles.com/,45954.0,http://letellier.fr/,True,,True,,Après vingt lendemain approcher.
Bar à jeux Train,Nicolas de Legros,lucie05@example.net,,Bar à jeux,France,Pays de la Loire,44,Rezé,,,,,,,http://www.germain.org/,10197.0,,,,,https://klein.com/,False,facebook,True,,Exister heureux plaisir double.
MJC Père,Thomas Lombard,cturpin@example.com,0796005943,MJC,France,Occitanie,30,Bagnols-sur-Cèze,"2, rue Luc Teixeira",263.0,,,http://www.tanguy.com/,6160.0,http://www.petitjean.net/,24805.0,,,,,http://www.francois.com/,True,telephone,True,2024-09-26,Chaise endroit me tomber autre.
Influenceur Baisser,,mblondel@example.com,0682915859,Influenceur,France,Île-de-France,93,Saint-Denis,"887, rue Bernier",,https://www.guillet.com/,2176.0,https://brun.org/,8303.0,https://www.hoarau.com/,22303.0,,,,,https://clement.com/,False,telephone,True,,
MJC Besoin,David de la Aubert,adamjulie@example.com,0722931326,MJC,France,Bourgogne-Franche-Comté,70,Lure,"10, rue Thérèse Fischer",,https://www.albert.fr/,9570.0,http://www.guillon.com/,8606.0,https://www.delahaye.com/,19649.0,,,,,http://masson.org/,True,email,False,,Avenir douze chien élément contraire.
Bar à jeux Continuer,André Boulanger,rolandmichaud@example.com,0751076821,Bar à jeux,France,Grand Est,67,Sélestat,"6, avenue Renée Le Gall",129.0,https://www.vaillant.com/,5167.0,http://www.traore.com/,11840.0,https://www.dufour.fr/,3572.0,https://www.vaillant.net/,31259.0,,,http://www.da.fr/,False,telephone,False,,Sien ennemi obtenir rêver cabinet révéler cruel couvrir.
Médiathèque Succès,Yves Guillet-Pons,moniquealbert@example.net,0777506274,Médiathèque,France,Grand Est,10,Troyes,"55, rue de Guyot",,http://www.devaux.com/,8935.0,https://www.joseph.com/,3276.0,https://www.adam.fr/,7139.0,https://www.martinez.com/,45238.0,,,http://antoine.com/,True,email,False,,Achever maintenir crier davantage.
Artisan Fait,,lambertmarc@example.com,0628680534,Artisan,France,Occitanie,34,Béziers,"30, chemin Nicolas Robin",,https://lacroix.fr/,1497.0,https://www.adam.fr/,4795.0,http://www.vallee.org/,23076.0,,,,,http://www.alves.fr/,True,,False,2024-03-29,Passé raconter achever repas.
Éditeur Prouver,Christophe Legros,monique53@example.org,0781590478,Éditeur,France,Île-de-France,92,Boulogne-Billancourt,"7, chemin de Schneider",130.0,https://www.deschamps.net/,3949.0,http://www.blanc.net/,10231.0,http://www.martel.org/,28434.0,,,http://www.sanchez.com/,3239.0,http://clement.com/,True,,False,2026-01-07,
Bar à jeux Charge,,virginie81@example.net,0714443377,Bar à jeux,France,Auvergne-Rhône-Alpes,74,Thonon-les-Bains,"22, avenue de Letellier",,http://hamel.net/,1087.0,,,http://www.lucas.com/,5190.0,,,,,http://roche.org/,False,telephone,False,2024-12-13,Abattre remplir écouter supérieur puis.
Asso JDR Certain,Jeanne Blin,lebonhelene@example.com,0730121200,Asso JDR,France,Pays de la Loire,72,Sablé-sur-Sarthe,"6, rue de Roger",,http://www.fernandez.com/,7439.0,https://www.ramos.fr/,3912.0,https://www.roche.com/,6622.0,,,https://www.georges.fr/,20237.0,https://www.petitjean.com/,False,email,False,2024-11-11,Certes nourrir bonheur hasard.
MJC Solitude,,snormand@example.net,0710815102,MJC,France,Grand Est,10,Troyes,"17, avenue Laurence Rossi",,https://www.marchand.org/,9480.0,,,http://www.begue.com/,22151.0,,,,,,True,,True,2025-04-13,Spectacle commencement preuve retirer.
Médiathèque Naissance,Thibaut Vincent-Guilbert,marianne95@example.org,0623310040,Médiathèque,France,Bretagne,35,Saint-Malo,"49, avenue de Buisson",473.0,http://buisson.com/,6986.0,,,http://www.chauvin.com/,4769.0,https://www.wagner.com/,6218.0,,,https://dupuy.com/,False,email,False,2025-03-15,
MJC Fer,Roland Ledoux-Hoareau,emmanuelpotier@example.com,0761216076,MJC,France,Auvergne-Rhône-Alpes,73,Aix-les-Bains,"77, boulevard Pénélope Martinez",,http://ruiz.fr/,2297.0,https://mary.fr/,14390.0,https://www.francois.fr/,19612.0,http://www.legrand.fr/,31986.0,http://pierre.com/,38939.0,,False,facebook,True,,
Éditeur Gris,Vincent Clément-Leduc,yadam@example.com,0721819502,Éditeur,France,Pays de la Loire,49,Cholet,,,http://www.bodin.com/,5573.0,,,,,,,https://www.hardy.org/,24992.0,http://reynaud.com/,True,telephone,False,2025-09-06,
Influenceur Pointe,,bruneaucatherine@example.org,0746383461,Influenceur,France,Bourgogne-Franche-Comté,70,Lure,"7, rue Constance Grondin",,http://www.vallet.fr/,329.0,https://www.gregoire.fr/,10282.0,https://www.descamps.net/,7940.0,http://boulay.net/,7639.0,https://antoine.fr/,3155.0,,True,,False,2026-01-26,
Médiathèque Prévenir,Alfred Weber,catherineloiseau@example.net,0615881288,Médiathèque,France,Auvergne-Rhône-Alpes,01,Bourg-en-Bresse,"75, chemin Marcel Morin",,https://www.weber.com/,9949.0,https://launay.com/,1208.0,,,https://www.leveque.net/,41016.0,,,https://colas.org/,False,telephone,True,,Écrire content par glace occasion cou médecin.
Éditeur Revenir,Denis Payet de la Marie,alexandria38@example.org,0764392845,Éditeur,France,Bourgogne-Franche-Comté,89,Sens,,,https://lagarde.com/,8671.0,http://leclercq.fr/,8218.0,https://clerc.com/,11644.0,http://www.thomas.com/,2463.0,http://www.poirier.fr/,72560.0,https://potier.fr/,False,instagram,False,2025-08-01,
CSCS Déchirer,,julien67@example.org,0622707386,CSCS,France,Corse,2A,Sartène,rue de Lévêque,,http://gomes.fr/,4722.0,,,https://petitjean.fr/,29851.0,https://prevost.net/,28546.0,,,https://guibert.org/,False,instagram,False,,
Médiathèque Sac,,dguerin@example.com,0785750119,Médiathèque,France,Île-de-France,93,Montreuil,"98, rue de Hubert",143.0,http://www.allain.fr/,2959.0,,,,,,,,,https://www.fournier.org/,True,,True,,
Asso JDR Immense,Thierry Andre de la Ferrand,gilletthibault@example.org,0691514106,Asso JDR,France,Auvergne-Rhône-Alpes,03,Vichy,"17, rue Robert",250.0,http://www.raynaud.com/,7038.0,,,,,,,,,http://www.millet.org/,True,telephone,False,2026-01-20,
Ludothèque Appuyer,,rochesusanne@example.com,,Ludothèque,France,Occitanie,65,Lourdes,"1, rue de Weiss",,,,,,http://laine.fr/,28093.0,,,,,https://www.dufour.net/,False,instagram,False,2025-12-21,
Ludothèque Faire,Stéphanie Morvan-Petit,mauricebonnin@example.com,0657834299,Ludothèque,France,Bourgogne-Franche-Comté,39,Lons-le-Saunier,"57, boulevard Royer",,https://www.potier.fr/,9628.0,,,https://www.boutin.com/,1378.0,,,,,https://www.henry.net/,True,email,False,2025-07-27,
CSCS Demande,Marthe Adam,edithcoulon@example.com,0797760544,CSCS,France,Auvergne-Rhône-Alpes,43,Le Puy-en-Velay,"79, avenue Grondin",,http://bodin.fr/,8068.0,,,,,,,https://bonneau.net/,33360.0,https://www.seguin.fr/,True,facebook,False,2024-08-02,
Influenceur Rentrer,,neveuadelaide@example.org,0641112238,Influenceur,France,Nouvelle-Aquitaine,23,Guéret,,,https://www.michel.com/,8360.0,http://www.coulon.net/,4933.0,https://brun.net/,29001.0,,,,,http://cordier.fr/,True,,False,,
Médiathèque Ramener,,edouard56@example.com,0647317026,Médiathèque,France,Nouvelle-Aquitaine,64,Biarritz,"94, chemin de Reynaud",,http://lopez.fr/,7933.0,,,http://www.moreau.fr/,25602.0,,,,,https://www.evrard.org/,True,telephone,False,,
MJC Songer,Alain-François Valette,,0627749922,MJC,France,Provence-Alpes-Côte d'Azur,13,Marseille,,129.0,,,https://www.julien.com/,1477.0,https://www.muller.com/,21160.0,,,,,,True,email,False,,
Médiathèque Glace,,noemiboyer@example.com,0601726536,Médiathèque,France,Grand Est,67,Sélestat,,,http://www.lagarde.fr/,301.0,http://perez.fr/,1831.0,,,,,https://rodrigues.com/,22559.0,http://humbert.com/,False,,False,2024-09-29,
CSCS Naturellement,Virginie Parent,ehoarau@example.org,0624106598,CSCS,France,Nouvelle-Aquitaine,79,Bressuire,"498, chemin de Philippe",,https://www.maurice.fr/,6534.0,,,,,https://martins.com/,38340.0,,,https://maurice.fr/,False,email,True,2024-05-05,
Influenceur Figure,Lorraine Royer Le Petit,falbert@example.org,0704102157,Influenceur,France,Nouvelle-Aquitaine,24,Périgueux,"78, boulevard de Bodin",,http://www.pascal.com/,5274.0,,,https://www.ollivier.fr/,7524.0,http://www.ribeiro.net/,1992.0,,,https://marion.fr/,False,,False,2026-01-27,
Ludothèque Dieu,,mathildemenard@example.org,0780047891,Ludothèque,France,Centre-Val de Loire,45,Montargis,rue Lucas,492.0,http://bonneau.com/,8736.0,https://dupre.com/,5258.0,https://toussaint.com/,29962.0,http://bazin.com/,18936.0,,,http://www.costa.org/,True,,True,2024-08-09,
CSCS Soin,,elisewagner@example.net,0793921710,CSCS,France,Île-de-France,93,Montreuil,"75, avenue Lefebvre",195.0,https://maurice.com/,3659.0,http://rodrigues.fr/,11564.0,http://www.hoarau.com/,25755.0,,,,,,False,,False,,
CSCS Compte,,dupuyanastasie@example.net,0634228763,CSCS,France,Grand Est,67,Strasbourg,,257.0,https://charrier.com/,1105.0,,,https://www.lucas.com/,18461.0,,,http://www.klein.com/,78189.0,http://www.vaillant.com/,True,,True,,
Boutique spécialisée Ici,Sébastien du Vincent,letellierclaudine@example.com,,Boutique spécialisée,France,Provence-Alpes-Côte d'Azur,83,Draguignan,,106.0,https://lefort.com/,5703.0,,,http://foucher.com/,14864.0,,,,,http://www.lelievre.com/,False,,False,2024-02-25,
CSCS Pièce,Mathilde-Capucine Bouchet,adele77@example.com,0693542605,CSCS,France,Bourgogne-Franche-Comté,89,Sens,"81, avenue de Menard",362.0,http://richard.org/,5318.0,http://gomes.fr/,5364.0,,,,,,,http://giraud.com/,True,,True,2024-05-28,
Médiathèque Creuser,Margot-Adrienne Bonnin,edouardalves@example.org,0655090344,Médiathèque,France,Nouvelle-Aquitaine,40,Dax,"261, rue Dupont",20.0,https://maillet.org/,7127.0,,,https://gaillard.net/,17531.0,http://www.rossi.net/,28462.0,,,https://coste.org/,False,,True,,
Éditeur Quinze,Jeannine-Édith Carre,alex09@example.com,0736847990,Éditeur,France,Pays de la Loire,49,Saumur,,,https://www.gaillard.fr/,9325.0,,,,,https://www.rousseau.fr/,11382.0,,,http://carlier.net/,True,instagram,True,,
Médiathèque Calme,Lorraine Dumas,augustinmeyer@example.org,0735331431,Médiathèque,France,Auvergne-Rhône-Alpes,73,Chambéry,"1, avenue Arthur Lemoine",150.0,https://louis.fr/,9142.0,https://pinto.fr/,3057.0,http://www.marty.com/,14549.0,,,,,http://www.lemaitre.com/,False,telephone,False,,
Médiathèque Nu,,levequeguy@example.com,,Médiathèque,France,Île-de-France,92,Nanterre,,,http://georges.fr/,3605.0,https://guyot.net/,10110.0,http://www.pineau.fr/,17567.0,,,,,http://lopez.org/,False,,False,2025-10-03,
Médiathèque Serrer,,elise51@example.net,,Médiathèque,France,Occitanie,32,Mirande,rue Lebrun,60.0,https://www.faure.com/,7159.0,http://www.guillet.com/,4141.0,http://www.besson.com/,5420.0,,,,,http://alves.org/,False,telephone,True,2025-04-11,
Artisan Droit,,bazinolivie@example.net,0752408721,Artisan,France,Pays de la Loire,72,Le Mans,,,https://blin.com/,5104.0,,,http://jacob.com/,12684.0,,,,,https://lecomte.com/,True,facebook,True,,
CSCS Admettre,Auguste Leroux,louisebousquet@example.org,0737212732,CSCS,France,Bretagne,35,Fougères,"94, rue de Laporte",,http://briand.com/,5893.0,,,http://lebrun.net/,1547.0,,,https://www.baudry.fr/,21530.0,https://delattre.com/,False,telephone,False,,
Boutique spécialisée Maladie,,,0720070190,Boutique spécialisée,France,Occitanie,11,Carcassonne,"73, avenue de Arnaud",,https://lacombe.org/,1102.0,https://www.morel.org/,13697.0,https://brunel.com/,291.0,https://www.fournier.fr/,25467.0,http://www.andre.org/,16958.0,https://chretien.com/,True,email,True,2025-04-13,
CSCS Sauver,Chantal Techer,xavier20@example.org,0683830174,CSCS,France,Occitanie,09,Foix,chemin Thierry Perret,,,,,,https://andre.fr/,6213.0,,,https://www.guyon.fr/,11287.0,https://rossi.com/,True,telephone,True,2025-03-08,
Éditeur Sans,,robert10@example.org,0790892241,Éditeur,France,Normandie,61,Flers,"84, chemin de Rodriguez",,,,,,http://lombard.com/,16575.0,https://www.charrier.com/,16341.0,,,http://www.renard.com/,False,,True,,
Artisan Écrire,,remythibault@example.net,0793399284,Artisan,France,Bourgogne-Franche-Comté,89,Avallon,,,http://www.vidal.com/,7717.0,https://antoine.com/,5467.0,http://www.becker.com/,8994.0,http://www.legros.fr/,46190.0,,,https://alexandre.fr/,True,facebook,True,2024-06-02,
Bar à jeux Tantôt,Céline Delorme,massemarcelle@example.com,0630600312,Bar à jeux,France,Provence-Alpes-Côte d'Azur,04,Manosque,"11, chemin Lecoq",169.0,https://www.ramos.com/,8587.0,,,https://klein.fr/,19138.0,https://evrard.org/,41250.0,,,https://www.marechal.com/,False,instagram,True,2024-11-06,Soldat lentement oeuvre si inquiétude.
MJC Comprendre,Michelle Boucher de Allard,mercierandree@example.net,0799143557,MJC,France,Auvergne-Rhône-Alpes,73,Aix-les-Bains,"65, rue Didier",,https://aubert.com/,2606.0,,,http://www.georges.org/,13215.0,,,,,https://seguin.com/,False,,True,,Promettre marchand joue noir valeur.
Médiathèque Trouver,,ugiraud@example.org,0623040413,Médiathèque,France,Occitanie,12,Villefranche-de-Rouergue,"67, boulevard Coste",113.0,http://brunel.fr/,3619.0,https://marie.com/,10255.0,,,http://fischer.com/,4231.0,http://verdier.org/,30423.0,http://www.marchal.org/,False,,True,,
Médiathèque Société,Marguerite Gallet-Olivier,gaillardphilippine@example.com,0784272418,Médiathèque,France,Bourgogne-Franche-Comté,39,Dole,"77, boulevard de Roussel",,http://hardy.com/,3741.0,,,,,http://www.fleury.fr/,24636.0,,,https://weiss.fr/,False,telephone,True,2025-06-22,Suivre hôtel demander intelligence créer prévoir.
Influenceur Inviter,,noelmarechal@example.org,0618669307,Influenceur,France,Hauts-de-France,80,Amiens,"63, boulevard de Marques",48.0,http://georges.fr/,3935.0,http://dumont.fr/,10329.0,http://www.giraud.fr/,16624.0,https://laporte.net/,438.0,,,https://www.pages.net/,True,,False,2025-07-27,
Médiathèque Réfléchir,Émilie-Maggie Rolland,frederic31@example.org,0796535287,Médiathèque,France,Bretagne,56,Lorient,"14, rue Bernadette Blanchard",,,,http://andre.fr/,515.0,https://www.lamy.com/,9713.0,,,http://www.lamy.fr/,9593.0,http://duhamel.com/,False,facebook,False,,
Asso JDR Souvenir,Isabelle Lebrun Le Durand,emiliemillet@example.org,0726297493,Asso JDR,France,Grand Est,08,Charleville-Mézières,"900, boulevard de Moreau",,,,,,https://www.lemaitre.org/,29179.0,https://blot.com/,46404.0,,,http://salmon.fr/,False,instagram,True,,
CSCS Souffrir,Christine Moreau-Coste,mailletpenelope@example.com,0738759006,CSCS,France,Provence-Alpes-Côte d'Azur,05,Briançon,"16, avenue Lambert",454.0,http://wagner.org/,184.0,,,https://duhamel.fr/,11733.0,https://maurice.com/,15626.0,,,,True,telephone,True,,
Médiathèque Dessiner,Guillaume Didier-Rodriguez,,0672747846,Médiathèque,France,Bourgogne-Franche-Comté,21,Beaune,,111.0,,,http://www.benoit.com/,10863.0,http://www.da.fr/,28282.0,,,,,http://brunet.fr/,True,,True,2025-02-13,Éclairer tôt calme matin corde.
Artisan Rendre,,alfredmartins@example.com,0719087702,Artisan,France,Grand Est,08,Sedan,,,https://www.mercier.com/,3304.0,,,https://www.de.fr/,20644.0,,,,,,True,telephone,True,,
CSCS Renoncer,,henrydominique@example.com,0744277544,CSCS,France,Provence-Alpes-Côte d'Azur,13,Arles,rue Margaux Descamps,342.0,http://roche.org/,486.0,http://www.maillard.com/,9048.0,,,,,https://maurice.com/,50310.0,https://fleury.com/,True,,True,,
Éditeur Entraîner,Sophie Weiss,emmanuelle76@example.org,0692714003,Éditeur,France,Occitanie,34,Montpellier,"37, chemin de Martel",,https://peltier.net/,9418.0,http://www.bouvier.fr/,13013.0,,,,,http://www.lucas.com/,15944.0,,True,,True,,
Médiathèque Importance,Richard-Jacques Lebon,paulmace@example.net,0713188078,Médiathèque,France,Centre-Val de Loire,18,Saint-Amand-Montrond,boulevard Louise Vallet,,,,,,,,https://dubois.fr/,21403.0,,,https://www.boyer.com/,False,facebook,True,,Secours animer voisin sec goût précieux promettre.
Boutique spécialisée Comprendre,,le-gallcharlotte@example.com,0671019776,Boutique spécialisée,France,Nouvelle-Aquitaine,19,Tulle,"52, rue Delahaye",,https://allard.net/,2727.0,,,http://petit.org/,10715.0,,,,,https://www.david.com/,True,,True,,Difficile pour rendre vaincre prévoir lune.
Bar à jeux Froid,,fournierclaude@example.net,0780832974,Bar à jeux,France,Auvergne-Rhône-Alpes,15,Saint-Flour,"44, avenue de Descamps",,http://bazin.fr/,2008.0,http://arnaud.com/,5929.0,,,,,,,https://www.humbert.com/,False,email,False,,
Boutique spécialisée Nous,Marguerite-Denise Cousin,ydufour@example.net,0742817089,Boutique spécialisée,France,Nouvelle-Aquitaine,23,Aubusson,,,,,,,,,http://michaud.com/,16816.0,https://bonnet.fr/,26756.0,https://www.guillot.com/,False,telephone,True,2024-08-17,
Ludothèque Détacher,Laurence Maurice-Lejeune,llemaire@example.org,0785688926,Ludothèque,France,Nouvelle-Aquitaine,86,Châtellerault,,461.0,http://guillot.org/,8546.0,,,,,,,,,http://www.schneider.net/,False,,False,,
Boutique spécialisée Plein,Élodie Neveu,franckgirard@example.net,0666910515,Boutique spécialisée,France,Occitanie,81,Gaillac,,,http://www.gerard.com/,1494.0,,,https://hoareau.org/,5172.0,,,,,http://lebrun.fr/,False,facebook,True,,Drame contenter titre surveiller surprendre ensemble sourire.
Artisan Partir,Pierre Collet,lucas20@example.net,0724038070,Artisan,France,Pays de la Loire,53,Mayenne,"84, boulevard de Lemonnier",471.0,http://humbert.fr/,3292.0,https://clerc.net/,969.0,https://www.foucher.com/,29275.0,,,http://www.barbier.fr/,76941.0,,True,,True,2024-08-03,
